trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.99, 'e': 0.2043434617462395}",25,12,19.59441317430257,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.2023000271287771}",20,9,-20.13164009112998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.99, 'e': 0.2002770268574893}",30,16,4.671966057984689,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.99, 'e': 0.19827425658891443}",25,4,-50.82808147268746,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
162,False,"{'a': 0.99, 'e': 0.19629151402302528}",25,0,-7.001872984865923,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
163,False,"{'a': 0.99, 'e': 0.19432859888279502}",25,2,37.78510082437568,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.99, 'e': 0.19238531289396707}",20,13,12.837259812492082,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.99, 'e': 0.1904614597650274}",25,9,-8.694719618378349,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.99, 'e': 0.1885568451673771}",20,4,30.15236354544257,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.99, 'e': 0.18667127671570335}",20,3,21.762872969563222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.99, 'e': 0.1848045639485463}",30,13,-13.540816517182012,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.99, 'e': 0.18295651830906084}",25,7,-27.29035895833503,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.99, 'e': 0.18112695312597024}",25,7,27.448032666344982,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.99, 'e': 0.17931568359471053}",20,6,12.03462369210418,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.17752252675876343}",20,12,14.45835052068396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.99, 'e': 0.1757473014911758}",20,9,-5.611342610921579,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.173989828476264}",25,6,-7.155175136027622,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.99, 'e': 0.1722499301915014}",25,2,-19.65883900469131,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.99, 'e': 0.17052743088958636}",20,2,7.090059370496809,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.99, 'e': 0.1688221565806905}",35,14,33.949278488285735,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.1671339350148836}",20,0,2.4337433417348255,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.99, 'e': 0.16546259566473476}",20,4,9.537264591524004,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.99, 'e': 0.16380796970808742}",25,9,-22.25347479439345,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.99, 'e': 0.16216989001100654}",20,0,-31.636798591607622,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
182,False,"{'a': 0.99, 'e': 0.16054819111089647}",25,12,-31.22669537923982,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.99, 'e': 0.1589427091997875}",20,13,5.090738438164387,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
